Total,esl,nativeAmerican,black,latino,asian,white,female,attendance,povertyRate,temporaryHousing,teachers
501,86,0.4,35.5,63.3,0.2,0.6,45.1,92.1,99.6,14,57
581,78,0.5,31.7,67.1,0.5,0.2,48.5,90.7,83,19,56
496,34,0.2,23.8,74.8,0.2,1,48.6,91.9,82.9,8,60
960,38,0.1,24.6,74.1,0.9,0.3,55.2,88.7,83.5,22,83
393,98,0.5,20.9,77.9,0.5,0.2,54.2,93.2,93.3,11,33
430,23,0,34,65.8,0.2,0,48.4,85.4,84.3,7,44
470,28,0.4,24.5,74.7,0.4,0,48.9,91.3,87.2,8,36
342,26,0.6,27.2,70.5,0.9,0.9,46.2,89.8,84.9,4,29
550,63,1.1,22,75.4,0.6,0.9,47.1,89.9,73.4,8,51
278,31,0,38.5,61.2,0,0.4,47.5,87.5,96.1,2,22
299,25,0,22.7,76.9,0,0.3,53.2,88.6,92.5,2,21
273,18,0.4,33.7,65.2,0.4,0.4,48.4,89.1,81.4,6,21
360,28,0.8,35.8,61.9,0.3,1.1,57.8,80.9,73.9,1,28
332,29,0,30.3,69.4,0.3,0,48.2,83.1,80.1,3,25
481,41,0.4,22.2,73.6,2.7,1,55.9,86.9,75.7,3,36
334,17,0.3,38,59.6,0.9,1.2,41,79.7,81.4,6,25
326,9,0.3,30.7,68.1,0.6,0.3,17.2,86.5,70.7,1,19
1189,88,0.2,33.8,63.2,2.3,0.4,12.4,75.8,78.1,4,93
1488,142,1.1,28.3,68.3,1.4,0.9,23.9,75.8,85,11,96
624,43,0,37.5,59.8,1.6,1.1,72.4,83.6,73.6,6,38
528,43,1,7,54.6,3.6,33.9,43.2,93.3,52.4,2,38
651,95,0.8,16.9,62.5,18.1,1.7,47.6,94.3,78.6,11,47
959,94,0.5,25,74,0,0.4,49.6,88.3,86.3,52,89
723,37,0.4,15.5,83,0.4,0.7,49.1,91.2,89.8,9,65
583,74,0.3,20.8,74.3,2.6,2.1,48.5,92.1,70.6,8,42
1567,72,0.4,5.6,48.8,5.2,40,50.6,92.9,53.7,5,98
904,64,0.3,27.2,61.1,4.3,7.1,48.1,90.9,74,9,79
703,86,1.1,26.5,70.1,0.7,1.6,45.2,89.9,91.2,18,64
418,26,0.7,50.2,47.6,0.2,1.2,46.2,91.1,75.5,6,43
769,64,0.8,43.3,55.1,0.5,0.3,51.4,92,75.1,44,63
445,0,0.4,21.1,56.2,8.5,13.7,47.2,94.9,63.8,1,29
535,30,0.6,47.8,50.3,0.8,0.6,50.5,90.9,74.5,25,51
908,167,0,12,57,28.5,2.4,49,93,75.4,3,67
565,110,0.2,35,63.9,0.2,0.7,50.3,88,86.7,54,49
757,51,0,17.7,59.2,21.4,1.7,48.5,91.4,85.2,6,58
671,66,0.2,29.7,69.4,0.3,0.4,52,90.7,96.5,11,51
871,29,0.6,38.9,57.2,3,0.3,49.7,89.9,64.7,13,68
941,67,1,35.5,59.7,2.8,1.1,50.5,90.8,77.2,25,60
522,49,0.4,42,57.1,0.4,0.2,44.4,90.8,87.2,12,46
472,79,0.6,46.6,52.3,0,0.4,52.3,90.4,89,16,40
916,164,0.6,26.4,71.9,0.9,0.2,49.1,89.8,88,30,72
644,71,0.8,32.3,64.3,2.5,0.2,44.1,86.9,65.8,18,55
973,29,0,30.2,65.5,3.7,0.6,47.3,93,71.4,15,67
650,26,0.3,20.3,60.3,4,15.1,46.9,88.8,63.7,13,59
324,31,0.6,28.1,67.9,0.9,2.5,53.1,86.8,68.7,3,23
